B,P,C,X,N,Time
5,1,1,0,1,10.268144
5,1,5,0,1,10.255977
5,5,1,0,1,10.260615
5,5,5,0,1,10.253827
10,1,1,0,1,10.266406
10,1,5,0,1,10.259457
10,1,10,0,1,10.265805
10,5,1,0,1,10.262309
10,5,5,0,1,10.254782
10,5,10,0,1,10.267843
10,10,1,0,1,10.266512
10,10,5,0,1,10.276625
10,10,10,0,1,10.276803
5,1,1,200,1,10.266151
5,1,5,200,1,10.253288
5,5,1,200,1,10.269091
5,5,5,200,1,10.269455
10,1,1,200,1,10.264697
10,1,5,200,1,10.265911
10,1,10,200,1,10.260776
10,5,1,200,1,10.251649
10,5,5,200,1,10.263878
10,5,10,200,1,10.257558
10,10,1,200,1,10.265724
10,10,5,200,1,10.269862
10,10,10,200,1,10.265260
5,1,1,400,1,10.457272
5,1,5,400,1,10.459547
5,5,1,400,1,10.458339
5,5,5,400,1,10.465041
10,1,1,400,1,10.461100
10,1,5,400,1,10.461900
10,1,10,400,1,10.463026
10,5,1,400,1,10.463094
10,5,5,400,1,10.462894
10,5,10,400,1,10.463197
10,10,1,400,1,10.472038
10,10,5,400,1,10.473436
10,10,10,400,1,10.475502
